date,open,high,low,close,adj_close,volume
2026-01-02,6878.10986328125,6894.8701171875,6824.31005859375,6858.47021484375,6858.47021484375,4184120000
2026-01-05,6892.18994140625,6920.3798828125,6891.56005859375,6902.0498046875,6902.0498046875,5771930000
2026-01-06,6908.02978515625,6948.68994140625,6904.02001953125,6944.81982421875,6944.81982421875,5509680000
2026-01-07,6945.06982421875,6965.68994140625,6919.18994140625,6920.93017578125,6920.93017578125,5214480000
2026-01-08,6914.10986328125,6931.27978515625,6899.330078125,6921.4599609375,6921.4599609375,5333200000
2026-01-09,6927.830078125,6978.35986328125,6917.64013671875,6966.27978515625,6966.27978515625,5163900000
2026-01-12,6944.1201171875,6986.330078125,6934.06982421875,6977.27001953125,6977.27001953125,5019040000
2026-01-13,6977.41015625,6985.830078125,6938.77001953125,6963.740234375,6963.740234375,5091730000
2026-01-14,6937.41015625,6941.2998046875,6885.740234375,6926.60009765625,6926.60009765625,5530830000
2026-01-15,6969.4599609375,6979.33984375,6937.93017578125,6944.47021484375,6944.47021484375,5114050000
2026-01-16,6960.5400390625,6967.2998046875,6925.08984375,6940.009765625,6940.009765625,5356550000
2026-01-20,6865.240234375,6871.169921875,6789.0498046875,6796.85986328125,6796.85986328125,5769500000
2026-01-21,6810.7099609375,6910.39013671875,6804.9599609375,6875.6201171875,6875.6201171875,5835520000
2026-01-22,6914.43994140625,6934.75,6893.6201171875,6913.35009765625,6913.35009765625,5307580000
2026-01-23,6907.85009765625,6932.9599609375,6895.5,6915.60986328125,6915.60986328125,4871930000
2026-01-26,6923.22998046875,6964.66015625,6921.60009765625,6950.22998046875,6950.22998046875,4968050000
2026-01-27,6965.9599609375,6988.81982421875,6958.830078125,6978.60009765625,6978.60009765625,5331720000
2026-01-28,7002.0,7002.27978515625,6963.4599609375,6978.02978515625,6978.02978515625,5507670000
2026-01-29,6977.740234375,6992.83984375,6870.7998046875,6969.009765625,6969.009765625,6877780000
2026-01-30,6947.27001953125,6964.08984375,6893.47998046875,6939.02978515625,6939.02978515625,6697340000
2026-02-02,6916.64013671875,6991.919921875,6914.33984375,6976.43994140625,6976.43994140625,5772050000
2026-02-03,6985.4501953125,6993.080078125,6862.0498046875,6917.81005859375,6917.81005859375,7017660000
2026-02-04,6924.5,6936.08984375,6838.7998046875,6882.72021484375,6882.72021484375,7475750000
2026-02-05,6837.39013671875,6857.85009765625,6780.1298828125,6798.39990234375,6798.39990234375,6989120000
2026-02-06,6816.740234375,6944.89013671875,6816.740234375,6932.2998046875,6932.2998046875,6283680000
2026-02-09,6917.259765625,6980.10009765625,6905.8701171875,6964.81982421875,6964.81982421875,5650260000
2026-02-10,6974.490234375,6986.830078125,6937.52978515625,6941.81005859375,6941.81005859375,5595950000
2026-02-11,6976.47998046875,6993.47998046875,6911.97021484375,6941.47021484375,6941.47021484375,6175510000
2026-02-12,6957.5400390625,6973.22021484375,6824.0400390625,6832.759765625,6832.759765625,7118700000
2026-02-13,6834.27001953125,6881.9599609375,6794.5498046875,6836.169921875,6836.169921875,5718360000
2026-02-17,6819.85986328125,6866.990234375,6775.5,6843.22021484375,6843.22021484375,5418480000
2026-02-18,6855.47998046875,6909.1201171875,6849.66015625,6881.31005859375,6881.31005859375,5098160000
2026-02-19,6861.33984375,6879.1201171875,6833.06005859375,6861.89013671875,6861.89013671875,5151690000
2026-02-20,6843.259765625,6915.85986328125,6836.330078125,6909.509765625,6909.509765625,3339510000
